Distance,Magnetic Field(Bx),Magnetic Field(By),Magnetic Field(Bz),,Background Magnetic Field (Bx) ,Background (BY),Background (Bx),,Solenoid 3
cm,micro tesla,micro tesla,micro tesla,,micro tesla,micro tesla,micro tesla,,Current 1 amp
±0.1,±milli tesla,±milli tesla,±milli tesla,, 7.8, -19.8,74,,thickness of stand 10 cm
59, 8.1, -39.6,"72,116",,,,,,Voltage 11.95 V
58, 7.2, -51.6,"72,116",,,,,,
57, 6.6, -73.8,"71,148",,,,,,
56, 5.4, -128.7,"65,824",,,,,,
55, 0.6, -294.3,"48,884",,,,,,
54, -12.0, -648.6,"26,136",,,,,,
53, -2.4, -988.8,"38,720",,,,,,
52, 3.3, -1108.2,"46,948",,,,,,
51, 3.9, -1145.7,"49,852",,,,,,
50, 3.9, -1161.3,"48,884",,,,,,
49, 6.6, -1170.0,"48,400",,,,,,
48, 6.9, -1172.1,"46,948",,,,,,
47, 5.7, -1173.3,"45,980",,,,,,
46, 6.3, -1171.2,"45,490",,,,,,
45, 4.2, -1171.8,"56,628",,,,,,
44, 1.2, -1168.2,"65,820",,,,,,
43, 1.2, -1162.5,"79,860",,,,,,
42, -3.0, -1149.6,"96,316",,,,,,
41, -5.7, -1124.7,"109,384",,,,,,
40, -4.2, -1052.1,"132,132",,,,,,
39, 5.4, -874.2,"167,948",,,,,,
38, 18.0, -464.1,"175,690",,,,,,
37, 6.6, -206.4,"113,256",,,,,,
36, 4.5, -107.4,"86,636",,,,,,
35, 8.7, -57.3,"71,148",,,,,,
